[2016-10-02 11:32:41.207] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县太平乡, 1]
[2016-10-02 11:32:41.207] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县太平乡地理等达田社, 1]
[2016-10-02 11:32:41.208] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县姚关乡, 1]
[2016-10-02 11:32:41.208] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县旧城乡尖山脚社, 1]
[2016-10-02 11:32:41.208] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县旧城乡新街老坝鹅一社, 1]
[2016-10-02 11:32:41.209] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县由旺镇, 1]
[2016-10-02 11:32:41.209] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县甸阳镇大寨村, 1]
[2016-10-02 11:32:41.210] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县甸阳镇张家山脚村一社, 1]
[2016-10-02 11:32:41.210] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县甸阳镇甸头平坝村, 1]
[2016-10-02 11:32:41.211] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县老麦乡思索, 1]
[2016-10-02 11:32:41.212] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县酒房乡沙子盐盘社, 1]
[2016-10-02 11:32:41.212] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市昌宁县温泉乡小桥村林木寨, 1]
[2016-10-02 11:32:41.213] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县上营乡坪田村岔河社, 1]
[2016-10-02 11:32:41.213] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县不详乡镇, 1]
[2016-10-02 11:32:41.214] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡, 3]
[2016-10-02 11:32:41.214] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡丙弄村红门楼社, 1]
[2016-10-02 11:32:41.215] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡丙弄窑田, 1]
[2016-10-02 11:32:41.215] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡卢山平场, 1]
[2016-10-02 11:32:41.216] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡腊勐大寨, 1]
[2016-10-02 11:32:41.216] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡腾朗村小地方, 1]
[2016-10-02 11:32:41.216] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡芦山村, 1]
[2016-10-02 11:32:41.217] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县五合乡象山村奔坎寨, 1]
[2016-10-02 11:32:41.217] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县勐连乡, 1]
[2016-10-02 11:32:41.218] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县和顺镇十字路13社, 1]
[2016-10-02 11:32:41.218] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县团田乡帕允村何家寨社, 1]
[2016-10-02 11:32:41.219] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县团田乡曼哈2社, 1]
[2016-10-02 11:32:41.219] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县团田乡曼哈村3社, 1]
[2016-10-02 11:32:41.220] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县团田乡蛮哈四社, 1]
[2016-10-02 11:32:41.221] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县固东镇和平太平7社, 1]
[2016-10-02 11:32:41.221] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县固东镇新河赵家营, 1]
[2016-10-02 11:32:41.222] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县固东镇爱国新1社, 1]
[2016-10-02 11:32:41.222] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县固东镇爱国村坡脚社, 1]
[2016-10-02 11:32:41.223] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县固东镇甸苴江口, 1]
[2016-10-02 11:32:41.223] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县固东镇罗坪罗香2社, 1]
[2016-10-02 11:32:41.223] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县新华乡中心村, 1]
[2016-10-02 11:32:41.224] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡东山村, 1]
[2016-10-02 11:32:41.224] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡东营街子, 1]
[2016-10-02 11:32:41.225] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡云峰村后坡头50号, 1]
